job_id,status,description
71131d2d-2ef6-48b1-a2da-5e9febafc62f,pending,Ustalanie terminu prezentacji online
0db693a0-8e3d-4a20-a5dd-58c327d10457,pending,Telefoniczne podsumowanie oferty po wysłaniu e-mailem
8554a9ef-5605-47df-ad4a-511d30b30e2c,pending,Pomoc w poprawnym wypełnieniu formularza online
b78b16c0-9a72-4367-b2e4-60ba04c90e64,pending,Wyjaśnienie zasad zwrotu środków
9da8d2d8-73dd-46c2-88b2-9dd92dfbc89a,pending,Przekazanie informacji o statusie zwrotu
1dbd0e18-b6ea-4eb0-b51b-a82cbda57958,pending,Telefoniczne przypomnienie o podpisaniu umowy
272777ef-81f9-44b9-b290-f5370e2c0ca7,pending,Wyjaśnienie kolejnych kroków procesu wdrożenia
9b65c3ae-522a-4c3b-b0ed-2641bf818f12,pending,Przekazanie sugestii klienta do działu rozwoju produktu
42ba3891-adf3-4e31-9d21-5e8175957038,pending,Potwierdzenie przyjęcia zgłoszenia serwisowego
5f931280-22e6-4cb3-b260-e2dd7ba7b97c,pending,Końcowe podsumowanie projektu z klientem
d7a8a22f-3c4b-4cda-a21d-0e7f3913e136,pending,Telefoniczne badanie satysfakcji klienta
8c37614c-5b3c-4b02-816f-ec67aa9101a1,pending,Pomoc w przeniesieniu usług na nową lokalizację
02b6dce2-8730-4d79-9ab4-78198145f9bd,pending,Wyjaśnienie różnic między cennikiem netto a brutto
872bbe01-2186-4f99-b4c6-4d1351dc3faf,pending,Przekazanie informacji o dostępności konsultanta
c88cec22-8e44-4f53-8efb-681562bfe352,pending,Przyjęcie zgłoszenia o problemie z płatnością kartą
9e7b6336-ab64-487f-b59b-c7c5075f1158,pending,Wyjaśnienie zasad rozliczenia w walucie obcej
4cda5f8c-b3a1-4d19-8d18-947429de4080,pending,Telefoniczne poinformowanie o zakończeniu sprawy
3a83bf58-339e-49b9-9b9d-fcb51a4a9fa0,pending,Przyjęcie zgłoszenia awarii krytycznej
6b4ba15d-0521-4d54-9c30-59d81157f9c0,pending,Przekazanie informacji o eskalacji sprawy
abeebcce-b5b1-4871-92a2-262571aea72b,pending,Pomoc w konfiguracji powiadomień e-mail
